Title,Author,Field,Significance/Topic,Status
"The Principles of Psychology",William James,Foundations,The definitive classic that established psychology as a science.,downloaded
"The Interpretation of Dreams",Sigmund Freud,Foundations,Foundational text on psychoanalysis and the unconscious.,downloaded
"Beyond Freedom and Dignity",B.F. Skinner,Behaviorism,Seminal work on behaviorism and operant conditioning.,downloaded
"The Organization of Behavior",Donald Hebb,Neuroscience,Introduced the concept of Hebbian learning (neurons that fire together wire together).
"Cognitive Psychology",Ulric Neisser,Cognitive Psychology,The book that named and defined the field of cognitive psychology.
"Vision",David Marr,Cognitive Science,Foundational text on computational neuroscience and visual processing.
"The Modularity of Mind",Jerry Fodor,Cognitive Science,Proposed the modularity hypothesis of the mind.
"Syntactic Structures",Noam Chomsky,Linguistics/CogSci,Revolutionized linguistics and dismantled behaviorist views on language.
"The Sciences of the Artificial",Herbert A. Simon,Cognitive Science/AI,Foundational work on design, AI, and complex systems.
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas Hofstadter,Cognitive Science,Explores consciousness, patterns, and strange loops.
"Thinking, Fast and Slow",Daniel Kahneman,Behavioral Economics,Definitive summary of dual-process theory (System 1 vs System 2).
"The Man Who Mistook His Wife for a Hat",Oliver Sacks,Clinical Neuroscience,Classic case studies illuminating neurological disorders.
"Descartes' Error",Antonio Damasio,Neuroscience,Explores the crucial role of emotion in decision-making (Somatic Marker Hypothesis).
"Behave: The Biology of Humans at Our Best and Worst",Robert Sapolsky,Neurobiology,Comprehensive integration of endocrinology, neuroscience, and evolution.
"Principles of Neural Science",Eric Kandel et al.,Neuroscience,The gold-standard textbook for neuroscience specialists.
"The Selfish Gene",Richard Dawkins,Evolutionary Psych,Popularized the gene-centered view of evolution.
"Consciousness Explained",Daniel Dennett,Philosophy of Mind,A materialist/functionalist account of consciousness.
"The Language Instinct",Steven Pinker,Linguistics/CogSci,Argues that language is an innate human adaptation.
"Influence: The Psychology of Persuasion",Robert Cialdini,Social Psychology,Seminal work on the mechanics of persuasion and compliance.
"The Nature of Prejudice",Gordon Allport,Social Psychology,Foundational text on intergroup relations and stereotyping.
"Obedience to Authority",Stanley Milgram,Social Psychology,Detailed account of the famous Milgram experiments.
"The Lucifer Effect",Philip Zimbardo,Social Psychology,Analysis of the Stanford Prison Experiment and situational evil.
"Mind in Society",Lev Vygotsky,Developmental Psych,Introduced the Zone of Proximal Development and social learning.
"The Psychology of the Child",Jean Piaget,Developmental Psych,Summary of Piaget's stages of cognitive development.
"Attachment",John Bowlby,Developmental Psych,Foundational work on attachment theory.
"The Nurture Assumption",Judith Rich Harris,Developmental Psych,Challenges the impact of parenting vs. peers and genetics.
"Phantoms in the Brain",V.S. Ramachandran,Neuroscience,Explores neuroplasticity through phantom limbs and strange disorders.
"The Computational Brain",Patricia Churchland & Terrence Sejnowski,Computational Neuroscience,Bridging philosophy and neural networks.
"Metaphors We Live By",George Lakoff & Mark Johnson,Cognitive Linguistics,How language and metaphor structure our conceptual system.
"The Society of Mind",Marvin Minsky,AI/Cognitive Science,Theories on how intelligence emerges from non-intelligent agents.
"On the Origin of Species",Charles Darwin,Foundations,The biological basis for evolutionary psychology.
"Conditioned Reflexes",Ivan Pavlov,Behaviorism,Foundational text on classical conditioning.
"Man's Search for Meaning",Viktor Frankl,Clinical/Existential,Logotherapy and the psychology of survival.
"On Becoming a Person",Carl Rogers,Clinical/Humanistic,Foundational text on client-centered therapy.
"Cognitive Therapy of Depression",Aaron T. Beck,Clinical/CBT,The foundation of Cognitive Behavioral Therapy.
"Predictably Irrational",Dan Ariely,Behavioral Economics,Explores systemic irrationality in human decision making.
